Fecha|Id_stock|URL_actual|Tamaño_coches|Posicion_coche|Total_paginas|URL_auto|URL_image|Estatus|T_invenario|Marca|Modelo|Version|Año|Km|Transmision|Costo_normal|Oferta|Mensualidades|Ubicacion
2025-03-12 01:13:35.824507|385275|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|20|191|https://www.kavak.com/mx/usado/mini-john_cooper_works-20_john_cooper_works_all4_auto-suv-2025|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzg1Mjc1L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzQwMjQ3MDI4NjUxLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Mini|John Cooper Works|2.0 JOHN COOPER WORKS ALL4 AUTO|2025|6,526 km|Automático|Sin datos|793,999|$9,611 / mes*|Monterrey
2025-03-12 01:13:35.874481|382341|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|21|191|https://www.kavak.com/mx/usado/audi-q8-30_mhev_55_tfsi_s_line_auto_4wd-suv-2019|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzgyMzQxL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzQwMDkzMDIxMTY1LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Audi|Q8|3.0 MHEV 55 TFSI S LINE AUTO 4WD|2019|45,236 km|Automático|Sin datos|791,999|$9,588 / mes*|Guadalajara
2025-03-12 01:13:35.924454|384467|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|22|191|https://www.kavak.com/mx/usado/mercedes_benz-clase_cla-13_mhev_cla_200_line_dct-coupe-2024|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzg0NDY3L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzQwMTY1NjY3MjMxLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Mercedes Benz|Clase CLA|1.3 MHEV CLA 200 LINE DCT|2024|5,105 km|Automático|Sin datos|786,999|$9,532 / mes*|Ciudad de México
2025-03-12 01:13:35.969071|384350|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|23|191|https://www.kavak.com/mx/usado/audi-q8-30_mhev_55_tfsi_s_line_auto_4wd-suv-2020|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzg0MzUwL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzQwNTEyNTU3MjY4LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Audi|Q8|3.0 MHEV 55 TFSI S LINE AUTO 4WD|2020|77,377 km|Automático|Sin datos|780,999|$9,464 / mes*|Ciudad de México
2025-03-12 01:13:36.019055|386711|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|24|191|https://www.kavak.com/mx/usado/bmw-x2-20_m35i_xdrive_auto-suv-2023|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzg2NzExL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzQwNjc1NjUzNjY2LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Bmw|X2|2.0 M35I XDRIVE AUTO|2023|22,206 km|Automático|Sin datos|772,999|$9,374 / mes*|Monterrey
2025-03-12 01:13:36.069020|384153|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|25|191|https://www.kavak.com/mx/usado/mercedes_benz-clase_e-30_mercedes_amg_e_43_auto_4wd-sedan-2019|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzg0MTUzL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzQwMDc1NjY2NzM1LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Mercedes Benz|Clase E|3.0 MERCEDES-AMG E 43 AUTO 4WD|2019|30,387 km|Automático|Sin datos|762,999|$9,261 / mes*|Ciudad de México
2025-03-12 01:13:36.118998|382836|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|26|191|https://www.kavak.com/mx/usado/bmw-serie_1-20_m135i_xdrive_auto-hatchback-2023|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzgyODM2L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzM5NjM4MTM2NDYxLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Bmw|Serie 1|2.0 M135I XDRIVE AUTO|2023|20,000 km|Automático|Sin datos|756,999|$9,193 / mes*|Querétaro
2025-03-12 01:13:36.168968|386254|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|27|191|https://www.kavak.com/mx/usado/bmw-serie_4-20_430i_gran_coupe_auto-hatchback-2023|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzg2MjU0L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzQwNzg1NDk5MzE4LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Bmw|Serie 4|2.0 430I GRAN COUPE AUTO|2023|38,892 km|Automático|Sin datos|748,999|$9,102 / mes*|Querétaro
2025-03-12 01:13:36.218941|368865|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|28|191|https://www.kavak.com/mx/usado/jeep-wrangler-36_unlimited_sahara_auto_4wd-suv-2019|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzY4ODY1L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzQwNzY0MjM2MDMzLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Jeep|Wrangler|3.6 UNLIMITED SAHARA AUTO 4WD|2019|39,434 km|Automático|Sin datos|740,999|$9,012 / mes*|Ciudad de México
2025-03-12 01:14:21.874243|374164|https://www.kavak.com/mx/seminuevos?order=higher_price&page=1|29|0|191|https://www.kavak.com/mx/usado/audi-q8-30_mhev_55_tfsi_elite_auto_4wd-suv-2019|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzc0MTY0L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzM2NjA3MzA5NjQwLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Audi|Q8|3.0 MHEV 55 TFSI ELITE AUTO 4WD|2019|61,126 km|Automático|Sin datos|728,999|$8,876 / mes*|Ciudad de México
